Matrix,Compound,Isomer,Mean_Partition_Coefficient
Brain,PFBA,Linear,0.7197548954260452
Brain,PFDA,Linear,0.7197548954260452
Brain,PFDA,Total,0.7197548954260452
Brain,PFDS,Branched,0.060860854260009034
Brain,PFDS,Linear,8.584977675854908
Brain,PFDS,Total,0.9107051238532389
Brain,PFDoDA,Linear,0.7197548954260452
Brain,PFDoDS,Branched,0.7197548954260452
Brain,PFDoDS,Linear,7.079999999999999
Brain,PFDoDS,Total,7.079999999999999
Brain,PFECHS,Linear,0.7197548954260452
Brain,PFHpA,Linear,0.7197548954260452
Brain,PFHpA,Total,0.7197548954260452
Brain,PFHpS,Branched,0.7197548954260452
Brain,PFHpS,Linear,0.7197548954260452
Brain,PFHpS,Total,0.7197548954260452
Brain,PFHxA,Linear,0.7197548954260452
Brain,PFHxA,Total,0.7197548954260452
Brain,PFHxS,Linear,0.7197548954260452
Brain,PFHxS,Total,0.7197548954260452
Brain,PFNA,Total,0.7197548954260452
Brain,PFNS,Branched,0.07125175087865987
Brain,PFNS,Linear,0.669502304157484
Brain,PFNS,Total,0.13184085500331216
Brain,PFOA,Branched,0.7197548954260452
Brain,PFOA,Linear,26.89325163180868
Brain,PFOA,Total,26.89325163180868
Brain,PFOS,Branched,0.038534859223807165
Brain,PFOS,Linear,0.16089775241367155
Brain,PFOS,Total,0.13294566216741688
Brain,PFPeA,Linear,0.7197548954260452
Brain,PFTeDA,Linear,0.7197548954260452
Brain,PFTrDA,Linear,0.7197548954260452
Brain,PFTrDS,Branched,0.7197548954260452
Brain,PFTrDS,Linear,1.2678365969506968
Brain,PFTrDS,Total,1.3665032636173635
Brain,PFUnDA,Linear,0.7197548954260452
Brain,PFUnDS,Branched,0.7197548954260452
Brain,PFUnDS,Linear,4.418666666666667
Brain,PFUnDS,Total,4.418666666666667
Brain,SD PFCA,Linear,0.7197548954260452
Brain,SD PFSA,Linear,0.7197548954260452
Brain,Summe PFCA,Linear,26.89325163180868
Brain,Summe PFSA,Linear,0.22583992428962127
Brain,√((∑SD)^2/Anzahl PFAS),Linear,0.7197548954260452
Heart,PFBA,Linear,0.288135593220339
Heart,PFDA,Linear,0.288135593220339
Heart,PFDA,Total,0.288135593220339
Heart,PFDS,Branched,0.25072017403042984
Heart,PFDS,Linear,1.0625606647506787
Heart,PFDS,Total,0.33439837901113756
Heart,PFDoDA,Linear,0.288135593220339
Heart,PFDoDS,Branched,0.288135593220339
Heart,PFDoDS,Linear,0.288135593220339
Heart,PFDoDS,Total,0.288135593220339
Heart,PFECHS,Linear,0.288135593220339
Heart,PFHpA,Linear,0.288135593220339
Heart,PFHpA,Total,0.288135593220339
Heart,PFHpS,Branched,0.288135593220339
Heart,PFHpS,Linear,0.288135593220339
Heart,PFHpS,Total,0.288135593220339
Heart,PFHxA,Linear,0.288135593220339
Heart,PFHxA,Total,0.288135593220339
Heart,PFHxS,Linear,0.288135593220339
Heart,PFHxS,Total,0.288135593220339
Heart,PFNA,Total,0.288135593220339
Heart,PFNS,Branched,0.26609679983327145
Heart,PFNS,Linear,0.542180708416121
Heart,PFNS,Total,0.2944279868993725
Heart,PFOA,Branched,0.288135593220339
Heart,PFOA,Linear,0.288135593220339
Heart,PFOA,Total,0.288135593220339
Heart,PFOS,Branched,0.23541667592372395
Heart,PFOS,Linear,0.32777334471470204
Heart,PFOS,Total,0.30404852449017183
Heart,PFPeA,Linear,0.288135593220339
Heart,PFTeDA,Linear,0.288135593220339
Heart,PFTrDA,Linear,0.288135593220339
Heart,PFTrDS,Branched,0.288135593220339
Heart,PFTrDS,Linear,0.288135593220339
Heart,PFTrDS,Total,0.288135593220339
Heart,PFUnDA,Linear,0.288135593220339
Heart,PFUnDS,Branched,0.288135593220339
Heart,PFUnDS,Linear,0.288135593220339
Heart,PFUnDS,Total,0.288135593220339
Heart,SD PFCA,Linear,0.288135593220339
Heart,SD PFSA,Linear,0.288135593220339
Heart,Summe PFCA,Linear,0.288135593220339
Heart,Summe PFSA,Linear,0.31653363745635293
Heart,√((∑SD)^2/Anzahl PFAS),Linear,0.288135593220339
Kidney,PFBA,Linear,0.5513244581463619
Kidney,PFDA,Linear,0.5513244581463619
Kidney,PFDA,Total,0.5513244581463619
Kidney,PFDS,Branched,0.31023023628538376
Kidney,PFDS,Linear,2.5831959570863425
Kidney,PFDS,Total,0.4916087262211928
Kidney,PFDoDA,Linear,0.5513244581463619
Kidney,PFDoDS,Branched,0.5513244581463619
Kidney,PFDoDS,Linear,0.5513244581463619
Kidney,PFDoDS,Total,0.5513244581463619
Kidney,PFECHS,Linear,0.5513244581463619
Kidney,PFHpA,Linear,0.5513244581463619
Kidney,PFHpA,Total,0.5513244581463619
Kidney,PFHpS,Branched,0.5513244581463619
Kidney,PFHpS,Linear,0.5513244581463619
Kidney,PFHpS,Total,0.5513244581463619
Kidney,PFHxA,Linear,0.5513244581463619
Kidney,PFHxA,Total,0.5513244581463619
Kidney,PFHxS,Linear,0.5513244581463619
Kidney,PFHxS,Total,0.5513244581463619
Kidney,PFNA,Total,0.5513244581463619
Kidney,PFNS,Branched,0.3739933655747553
Kidney,PFNS,Linear,1.1635679366907838
Kidney,PFNS,Total,0.4517846650970711
Kidney,PFOA,Branched,0.5513244581463619
Kidney,PFOA,Linear,0.5513244581463619
Kidney,PFOA,Total,0.5513244581463619
Kidney,PFOS,Branched,0.3791244515729663
Kidney,PFOS,Linear,0.8804239873959808
Kidney,PFOS,Total,0.7582310893282495
Kidney,PFPeA,Linear,0.5513244581463619
Kidney,PFTeDA,Linear,0.5513244581463619
Kidney,PFTrDA,Linear,0.5513244581463619
Kidney,PFTrDS,Branched,0.5513244581463619
Kidney,PFTrDS,Linear,0.5513244581463619
Kidney,PFTrDS,Total,0.5513244581463619
Kidney,PFUnDA,Linear,0.5513244581463619
Kidney,PFUnDS,Branched,0.5513244581463619
Kidney,PFUnDS,Linear,0.5513244581463619
Kidney,PFUnDS,Total,0.5513244581463619
Kidney,SD PFCA,Linear,0.5513244581463619
Kidney,SD PFSA,Linear,0.5513244581463619
Kidney,Summe PFCA,Linear,0.5513244581463619
Kidney,Summe PFSA,Linear,0.6357690611917893
Kidney,√((∑SD)^2/Anzahl PFAS),Linear,0.5513244581463619
