Day,Week,Animal,Feed_Intake_kg_per_day,Milk_Yield_kg_per_day
1.0,1.0,E2,0.0,1.1
2.0,1.0,E2,0.5661399548532731,0.65
3.0,1.0,E2,0.9634311512415348,0.64
4.0,1.0,E2,3.3074492099322805,0.68
5.0,1.0,E2,0.9634311512415352,0.56
6.0,1.0,E2,1.032957110609481,0.59
7.0,1.0,E2,3.3968397291196393,0.42
8.0,2.0,E2,0.4966139954853273,0.4
9.0,2.0,E2,0.3575620767494356,0.4
10.0,2.0,E2,0.1688487584650108,0.5
11.0,2.0,E2,0.1489841986455985,0.5
12.0,2.0,E2,0.0695259593679452,0.5
13.0,2.0,E2,0.0695259593679461,0.5
14.0,2.0,E2,0.1489841986455985,0.5
15.0,3.0,E2,0.2880361173814899,0.6
16.0,3.0,E2,0.1787810383747175,0.6
17.0,3.0,E2,0.4072234762979681,0.5
18.0,3.0,E2,2.751241534988715,0.6
19.0,3.0,E2,0.4767494356659138,0.6
20.0,3.0,E2,0.357562076749436,0.7
21.0,3.0,E2,0.6058690744920988,0.7
22.0,4.0,E2,0.4966139954853273,0.6
23.0,4.0,E2,0.6455981941309255,0.7
24.0,4.0,E2,0.3972911963882622,0.6
25.0,4.0,E2,0.1887133182844239,0.6
26.0,4.0,E2,0.6356659142212195,0.7
27.0,4.0,E2,0.6853273137697513,0.6
28.0,4.0,E2,0.6058690744920993,0.6
29.0,5.0,E2,0.2085778781038374,0.6
30.0,5.0,E2,2.2844243792325063,0.7
31.0,5.0,E2,0.9336343115124158,0.7
32.0,5.0,E2,0.7151241534988712,0.7
33.0,5.0,E2,0.983295711060948,0.7
34.0,5.0,E2,1.7977426636568852,0.8
35.0,5.0,E2,2.0361173814898423,0.8
36.0,6.0,E2,0.6654627539503382,0.8
37.0,6.0,E2,0.407223476297969,0.75
38.0,6.0,E2,2.0063205417607226,0.8
39.0,6.0,E2,0.6356659142212195,0.78
40.0,6.0,E2,2.2943566591422124,0.8
41.0,6.0,E2,0.744920993227991,0.76
42.0,6.0,E2,3.8437923250564343,0.7
43.0,7.0,E2,2.8902934537246048,0.7
44.0,7.0,E2,4.757562076749436,0.7
45.0,7.0,E2,1.8374717832957113,0.7
46.0,7.0,E2,1.658690744920993,0.7
47.0,7.0,E2,1.0428893905191878,0.7
48.0,7.0,E2,1.916930022573364,0.7
49.0,7.0,E2,3.0392776523702034,0.7
50.0,8.0,E2,0.5264108352144468,0.7
51.0,8.0,E2,1.618961625282167,0.8
52.0,8.0,E2,0.9733634311512416,0.8
53.0,8.0,E2,2.7015801354401803,0.8
54.0,8.0,E2,2.9498871331828447,0.7
55.0,8.0,E2,0.9932279909706544,0.8
56.0,8.0,E2,1.9864559819413097,0.8
1.0,1.0,E3,0.0,1.2
2.0,1.0,E3,0.129119638826185,0.95
3.0,1.0,E3,0.4668171557562079,0.95
4.0,1.0,E3,1.271331828442438,0.9
5.0,1.0,E3,0.8144469525959371,0.88
6.0,1.0,E3,0.4966139954853273,0.82
7.0,1.0,E3,1.450112866817156,0.66
8.0,2.0,E3,1.7778781038374722,0.76
9.0,2.0,E3,1.231602708803612,0.8
10.0,2.0,E3,1.301128668171558,0.7
11.0,2.0,E3,3.1485327313769753,0.7
12.0,2.0,E3,1.5295711060948085,0.7
13.0,2.0,E3,1.6487584650112868,0.8
14.0,2.0,E3,1.1422121896162531,0.7
15.0,3.0,E3,2.2446952595936795,0.6
16.0,3.0,E3,2.294356659142212,0.6
17.0,3.0,E3,2.234762979683973,0.7
18.0,3.0,E3,3.2081264108352143,0.7
19.0,3.0,E3,1.5792325056433412,0.7
20.0,3.0,E3,2.264559819413093,0.6
21.0,3.0,E3,1.3706546275395035,0.66
22.0,4.0,E3,3.287584650112867,0.5
23.0,4.0,E3,2.6022573363431154,0.6
24.0,4.0,E3,2.6320541760722356,0.5
25.0,4.0,E3,2.9995485327313767,0.6
26.0,4.0,E3,3.297516930022574,0.5
27.0,4.0,E3,3.158465011286682,0.6
28.0,4.0,E3,2.900225733634312,0.5
29.0,5.0,E3,2.8306997742663658,0.5
30.0,5.0,E3,3.138600451467269,0.6
31.0,5.0,E3,2.9896162528216705,0.6
32.0,5.0,E3,3.0790067720090293,0.6
33.0,5.0,E3,2.93002257336343,0.6
34.0,5.0,E3,1.559367945823928,0.6
35.0,5.0,E3,3.5358916478555313,0.6
36.0,6.0,E3,2.552595936794583,0.66
37.0,6.0,E3,0.8839729119638824,0.6
38.0,6.0,E3,1.3507900677200906,0.7
39.0,6.0,E3,2.6320541760722347,0.64
40.0,6.0,E3,2.18510158013544,0.7
41.0,6.0,E3,2.2744920993227993,0.74
42.0,6.0,E3,2.1155756207674945,0.7
43.0,7.0,E3,5.482618510158014,0.8
44.0,7.0,E3,5.204514672686231,0.7
45.0,7.0,E3,3.4465011286681717,0.7
46.0,7.0,E3,1.5295711060948085,0.6
47.0,7.0,E3,3.1485327313769753,0.8
48.0,7.0,E3,3.436568848758465,0.5
49.0,7.0,E3,5.065462753950339,0.6
50.0,8.0,E3,3.3074492099322805,0.6
51.0,8.0,E3,2.1155756207674945,0.6
52.0,8.0,E3,1.3309255079006774,0.6
53.0,8.0,E3,2.8009029345372465,0.6
54.0,8.0,E3,2.433408577878103,0.7
55.0,8.0,E3,2.552595936794583,0.7
56.0,8.0,E3,1.3706546275395035,0.7
1.0,1.0,E4,0.0,1.5
2.0,1.0,E4,0.1489841986455981,1.1
3.0,1.0,E4,0.3873589164785554,1.08
4.0,1.0,E4,0.6257336343115124,1.1
5.0,1.0,E4,0.4668171557562074,1.0
6.0,1.0,E4,0.3972911963882618,1.23
7.0,1.0,E4,0.3575620767494356,1.06
8.0,2.0,E4,0.6257336343115124,0.9
9.0,2.0,E4,1.976523702031603,0.9
10.0,2.0,E4,1.8176072234762983,0.9
11.0,2.0,E4,1.8374717832957113,0.9
12.0,2.0,E4,1.6388261851015806,0.9
13.0,2.0,E4,2.4036117381489848,0.9
14.0,2.0,E4,1.8176072234762983,0.8
15.0,3.0,E4,2.2744920993227993,0.8
16.0,3.0,E4,2.433408577878104,0.9
17.0,3.0,E4,2.0559819413092555,1.0
18.0,3.0,E4,3.9431151241535,0.8
19.0,3.0,E4,2.1255079006772015,0.8
20.0,3.0,E4,3.1187358916478565,0.9
21.0,3.0,E4,2.204966139954854,0.8
22.0,4.0,E4,2.681715575620768,0.8
23.0,4.0,E4,1.996388261851016,0.9
24.0,4.0,E4,1.370654627539504,0.8
25.0,4.0,E4,3.2776523702031612,0.8
26.0,4.0,E4,3.56568848758465,0.9
27.0,4.0,E4,3.1286681715575626,0.8
28.0,4.0,E4,3.208126410835215,0.8
29.0,5.0,E4,1.5693002257336346,0.9
30.0,5.0,E4,2.075846501128668,0.8
31.0,5.0,E4,1.5990970654627543,0.9
32.0,5.0,E4,2.939954853273139,0.9
33.0,5.0,E4,1.38058690744921,0.9
34.0,5.0,E4,2.7115124153498877,0.9
35.0,5.0,E4,2.1155756207674945,0.9
36.0,6.0,E4,1.221670428893905,0.9
37.0,6.0,E4,0.8839729119638833,0.94
38.0,6.0,E4,2.075846501128668,0.86
39.0,6.0,E4,1.4997742663656892,0.9
40.0,6.0,E4,1.0925507900677205,0.94
41.0,6.0,E4,0.9534988713318284,0.9
