Animal,Date,Matrix,Compound,Isomer,Concentration,MatrixSource,Day
E2,2023-05-22,Plasma,PFBA,Linear,0,Organs,0
E3,2023-05-22,Plasma,PFBA,Linear,0,Organs,0
E4,2023-05-22,Plasma,PFBA,Linear,0,Organs,0
E2,2023-05-26,Plasma,PFBA,Linear,4.13,Organs,4
E3,2023-05-26,Plasma,PFBA,Linear,3.36,Organs,4
E4,2023-05-26,Plasma,PFBA,Linear,1.31,Organs,4
E2,2023-06-07,Plasma,PFBA,Linear,11.1,Organs,16
E3,2023-06-07,Plasma,PFBA,Linear,12.9,Organs,16
E4,2023-06-07,Plasma,PFBA,Linear,10.1,Organs,16
E2,2023-06-28,Plasma,PFBA,Linear,1.65,Organs,37
E3,2023-06-28,Plasma,PFBA,Linear,6.15,Organs,37
E4,2023-06-28,Plasma,PFBA,Linear,2.79,Organs,37
E2,2023-07-17,Plasma,PFBA,Linear,3.17,Organs,56
E3,2023-07-17,Plasma,PFBA,Linear,1.84,Organs,56
E4,2023-07-17,Plasma,PFBA,Linear,1.56,Organs,56
E2,2023-07-21,Plasma,PFBA,Linear,0,Organs,60
E3,2023-07-21,Plasma,PFBA,Linear,0,Organs,60
E4,2023-07-21,Plasma,PFBA,Linear,0,Organs,60
E2,2023-08-02,Plasma,PFBA,Linear,0,Organs,72
E3,2023-08-02,Plasma,PFBA,Linear,0,Organs,72
E4,2023-08-02,Plasma,PFBA,Linear,0,Organs,72
E2,2023-08-30,Plasma,PFBA,Linear,0,Organs,100
E3,2023-08-30,Plasma,PFBA,Linear,0,Organs,100
E4,2023-08-30,Plasma,PFBA,Linear,0,Organs,100
E3,2023-10-04,Plasma,PFBA,Linear,0,Organs,135
E4,2023-10-04,Plasma,PFBA,Linear,0,Organs,135
E3,2023-10-09,Plasma,PFBA,Linear,0,Organs,140
E2,2023-05-22,Feces,PFBA,Linear,0,Organs,0
E3,2023-05-22,Feces,PFBA,Linear,0,Organs,0
E4,2023-05-22,Feces,PFBA,Linear,0,Organs,0
E2,2023-05-26,Feces,PFBA,Linear,4.54,Organs,4
E3,2023-05-26,Feces,PFBA,Linear,9.57,Organs,4
E4,2023-05-26,Feces,PFBA,Linear,1.69,Organs,4
E2,2023-06-28,Feces,PFBA,Linear,2.59,Organs,37
E3,2023-06-28,Feces,PFBA,Linear,6.35,Organs,37
E4,2023-06-28,Feces,PFBA,Linear,4.23,Organs,37
E2,2023-07-17,Feces,PFBA,Linear,2.1,Organs,56
E3,2023-07-17,Feces,PFBA,Linear,2.52,Organs,56
E4,2023-07-17,Feces,PFBA,Linear,2.03,Organs,56
E2,2023-07-21,Feces,PFBA,Linear,0,Organs,60
E3,2023-07-21,Feces,PFBA,Linear,0,Organs,60
E4,2023-07-21,Feces,PFBA,Linear,0,Organs,60
E2,2023-10-09,Feces,PFBA,Linear,0,Organs,140
E3,2023-10-09,Feces,PFBA,Linear,0,Organs,140
E4,2023-10-09,Feces,PFBA,Linear,0,Organs,140
E2,2023-05-22,Urine,PFBA,Linear,1.16,Organs,0
E3,2023-05-22,Urine,PFBA,Linear,1.15,Organs,0
E4,2023-05-22,Urine,PFBA,Linear,3.24,Organs,0
