Compound,Isomer,Breed,Parity,Feed_Type,Scenario,GOF_Passed,Exposure_Stop_Day,Total_Days,Milk_Conc_End_Exposure,t50_depuration_days,t90_depuration_days,t_below_reg_limit_days
PFBA,Linear,Alpine,primiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.005133698624613397,,,
PFBA,Linear,Alpine,primiparous,grass_silage,EXPO_HIGH,0.0,300.0,300.0,0.025668493123066977,,,
PFBA,Linear,Alpine,primiparous,grass_silage,EXPO_DEP,0.0,200.0,300.0,0.006413970030641171,201.69460006938547,202.6997133496994,
PFBA,Linear,Alpine,primiparous,maize_silage,EXPO_LOW,0.0,300.0,300.0,0.005133698624613397,,,
PFBA,Linear,Alpine,primiparous,maize_silage,EXPO_HIGH,0.0,300.0,300.0,0.025668493123066977,,,
PFBA,Linear,Alpine,primiparous,maize_silage,EXPO_DEP,0.0,200.0,300.0,0.006413970030641171,201.69460006938547,202.6997133496994,
PFBA,Linear,Alpine,primiparous,lucerne,EXPO_LOW,0.0,300.0,300.0,0.005133698624613397,,,
PFBA,Linear,Alpine,primiparous,lucerne,EXPO_HIGH,0.0,300.0,300.0,0.025668493123066977,,,
PFBA,Linear,Alpine,primiparous,lucerne,EXPO_DEP,0.0,200.0,300.0,0.006413970030641171,201.69460006938547,202.6997133496994,
PFBA,Linear,Alpine,multiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.004701956564918807,,,
PFBA,Linear,Alpine,multiparous,grass_silage,EXPO_HIGH,0.0,300.0,300.0,0.02350978282459404,,,
PFBA,Linear,Alpine,multiparous,grass_silage,EXPO_DEP,0.0,200.0,300.0,0.005442524030137697,201.6954945955808,202.70070120330405,
PFBA,Linear,Alpine,multiparous,maize_silage,EXPO_LOW,0.0,300.0,300.0,0.004701956564918807,,,
PFBA,Linear,Alpine,multiparous,maize_silage,EXPO_HIGH,0.0,300.0,300.0,0.02350978282459404,,,
PFBA,Linear,Alpine,multiparous,maize_silage,EXPO_DEP,0.0,200.0,300.0,0.005442524030137697,201.6954945955808,202.70070120330405,
PFBA,Linear,Alpine,multiparous,lucerne,EXPO_LOW,0.0,300.0,300.0,0.004701956564918807,,,
PFBA,Linear,Alpine,multiparous,lucerne,EXPO_HIGH,0.0,300.0,300.0,0.02350978282459404,,,
PFBA,Linear,Alpine,multiparous,lucerne,EXPO_DEP,0.0,200.0,300.0,0.005442524030137697,201.6954945955808,202.70070120330405,
PFBA,Linear,Saanen,primiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.005016616189135102,,,
PFBA,Linear,Saanen,primiparous,grass_silage,EXPO_HIGH,0.0,300.0,300.0,0.02508308094567552,,,
PFBA,Linear,Saanen,primiparous,grass_silage,EXPO_DEP,0.0,200.0,300.0,0.006211948245537125,201.69472358984072,202.69985699794725,
PFBA,Linear,Saanen,primiparous,maize_silage,EXPO_LOW,0.0,300.0,300.0,0.005016616189135102,,,
PFBA,Linear,Saanen,primiparous,maize_silage,EXPO_HIGH,0.0,300.0,300.0,0.02508308094567552,,,
PFBA,Linear,Saanen,primiparous,maize_silage,EXPO_DEP,0.0,200.0,300.0,0.006211948245537125,201.69472358984072,202.69985699794725,
PFBA,Linear,Saanen,primiparous,lucerne,EXPO_LOW,0.0,300.0,300.0,0.005016616189135102,,,
PFBA,Linear,Saanen,primiparous,lucerne,EXPO_HIGH,0.0,300.0,300.0,0.02508308094567552,,,
PFBA,Linear,Saanen,primiparous,lucerne,EXPO_DEP,0.0,200.0,300.0,0.006211948245537125,201.69472358984072,202.69985699794725,
PFBA,Linear,Saanen,multiparous,grass_silage,EXPO_LOW,0.0,300.0,300.0,0.004485329660684448,,,
