Compound,Isomer,N,R2,GM_Fold_Error,Bias_log10,Bias_fold,CI_Coverage
PFBA,Linear,55,0.7082940004475116,20.759997417617473,-1.0611667172424186,11.512422437352859,0.6363636363636364
PFDA,Branched,4,0.8843352669912329,1.6054811359135335,-0.2056052070580561,1.6054811359135335,0.75
PFDA,Linear,46,0.9274997271175852,1.5468166396519205,-0.06794359761262772,1.1693475164801372,0.782608695652174
PFDS,Branched,78,0.9458057060266306,1.5174061187910233,0.0020879950799558766,1.0048193622942505,0.6282051282051282
PFDS,Linear,81,0.9090652207875756,1.6492139784860946,-0.057387211036739,1.1412668720618935,0.6296296296296297
PFDoDA,Branched,21,0.5721361175741551,1.4095874585934058,-0.012879719491363914,1.0301007882279274,0.6666666666666666
PFDoDA,Linear,36,0.9665547657526239,1.3518439894748568,-0.07573359418087541,1.1905114979699585,0.75
PFDoDS,Branched,48,0.9132472592803981,1.728370672400011,-0.023631547401514057,1.0559212923756454,0.7916666666666666
PFDoDS,Linear,51,0.7789865127425455,1.7777604637060698,-0.06880986060075589,1.1716822765057715,0.43137254901960786
PFHpA,Linear,4,0.13928540417312982,2.3793468571674325,-0.37645775736866727,2.3793468571674325,0.5
PFHpS,Linear,36,0.969562851407883,2.476835157048378,-0.3798579256622342,2.398048297357832,0.05555555555555555
PFHxA,Linear,5,0.06006163241534773,29.311278605190367,-1.4670347634765517,29.311278605190367,0.2
PFHxS,Linear,32,0.9704891764283107,1.840985172496026,-0.22749636156341627,1.6884817136487833,0.1875
PFNA,Linear,22,0.23296452771518925,2.95050110517001,-0.3672523775554053,2.3294445530878507,0.6363636363636364
PFNS,Branched,88,0.9599760757331187,1.32083155103128,0.016257916783957257,1.0381447613588577,0.8295454545454546
PFNS,Linear,87,0.9395251230276387,1.3624878457289886,0.004479849162477344,1.0103686193287542,0.5057471264367817
PFOA,Branched,21,0.8845195238452396,2.680298414691532,-0.14079022216615322,1.3828982344673955,0.5238095238095238
PFOA,Linear,42,0.3550307625636324,8.665455155557805,-0.8327729161560556,6.804134911433929,0.7619047619047619
PFOS,Branched,84,0.9519151380261671,1.4000895361130732,-0.05508799212561309,1.135240802781552,0.5952380952380952
PFOS,Linear,91,0.9467376876693302,1.3314556846774406,-0.013576899189661089,1.0317557530877186,0.5714285714285714
PFPeA,Linear,31,0.5880467602129579,4.800293527630184,-0.3613693162209169,2.298102082114041,0.41935483870967744
PFTeDA,Branched,11,0.03647800614988369,1.8719379965233276,-0.04332164522000212,1.1048966205034036,0.36363636363636365
PFTeDA,Linear,16,0.003821084120968498,17.73408077802454,0.675058032239029,4.732144876293796,0.0
PFTrDA,Branched,19,0.6424049236563695,1.6101828952412596,-0.07428583084983344,1.186549418566453,0.631578947368421
PFTrDA,Linear,30,0.9765611227564636,1.4445779690249043,-0.10167717437264981,1.2637965759293746,0.5333333333333333
PFTrDS,Branched,41,0.8945371352886775,1.8152127393093371,-0.03587043153760284,1.0861015451237719,0.6341463414634146
PFTrDS,Linear,21,0.10701167894879109,1.9493711374135836,-0.20118315062694642,1.589216811658645,0.7619047619047619
PFUnDA,Branched,21,0.07497877206587193,1.6044721051615312,-0.01535770743775701,1.0359951146203428,0.47619047619047616
PFUnDA,Linear,39,0.9671932467888281,1.3904103783662798,-0.09109205405772713,1.2333662326692583,0.717948717948718
PFUnDS,Branched,55,0.845416358084072,1.657674319131539,-0.012954731117706775,1.030278723274419,0.6181818181818182
PFUnDS,Linear,50,0.6782481329200194,1.6766648558083719,-0.10432799301595592,1.2715340456572475,0.68
