Animal,Compound,Isomer,max_day,frac,rmse_all_days,rmse_nonzero_days
E2,PFBA,Linear,140,0.2,0.0,0.0
E2,PFBA,Linear,140,0.3,127.32315715698238,200.71086381436734
E2,PFBA,Linear,140,0.4,111.87434301725528,166.59045628511146
E2,PFBA,Linear,140,0.5,119.01139075313803,182.48705938154671
E2,PFBA,Linear,140,0.6,133.86032622653025,205.65384231286856
E2,PFBA,Linear,140,0.6666666666666666,136.77851949670094,209.56496584125446
E2,PFBA,Linear,140,0.7,136.1405215037207,207.95866185001898
E2,PFBA,Linear,140,0.8,135.44108296001804,205.59871817147388
E2,PFBA,Linear,140,0.9,133.9389232911373,200.4044038444263
E2,PFBS,Linear,140,0.2,0.0,0.0
E2,PFBS,Linear,140,0.3,0.312176786693953,0.48029129732293013
E2,PFBS,Linear,140,0.4,0.355216416750482,0.5433920972397759
E2,PFBS,Linear,140,0.5,0.37212926161431326,0.5733733822689929
E2,PFBS,Linear,140,0.6,0.41105824317941697,0.6315015684756782
E2,PFBS,Linear,140,0.6666666666666666,0.4234936630199306,0.6504897333838082
E2,PFBS,Linear,140,0.7,0.422441820716753,0.6476282881569171
E2,PFBS,Linear,140,0.8,0.41725948054076734,0.6352696548372222
E2,PFBS,Linear,140,0.9,0.41120254854700095,0.6165161102211832
E2,PFCAs,Branched,140,0.2,0.0,0.0
E2,PFCAs,Branched,140,0.3,8.571340086969343,13.551645920812838
E2,PFCAs,Branched,140,0.4,7.122577612454737,11.034957786989791
E2,PFCAs,Branched,140,0.5,7.673944221578255,11.99937052534852
E2,PFCAs,Branched,140,0.6,8.463605575045404,13.229486909751492
E2,PFCAs,Branched,140,0.6666666666666666,8.654167430598072,13.489294154264478
E2,PFCAs,Branched,140,0.7,8.680825753428756,13.53059943062108
E2,PFCAs,Branched,140,0.8,8.59720942078532,13.363555379043131
E2,PFCAs,Branched,140,0.9,8.53169232969852,13.217523552246197
E2,PFCAs,Linear,140,0.2,0.0,0.0
E2,PFCAs,Linear,140,0.3,198.68301779008004,313.4172868031804
E2,PFCAs,Linear,140,0.4,249.55796705608577,395.99251949744803
E2,PFCAs,Linear,140,0.5,186.98512008348217,290.104087295722
E2,PFCAs,Linear,140,0.6,207.7137625848672,321.3172980447027
E2,PFCAs,Linear,140,0.6666666666666666,213.2781335965117,329.45359972140005
E2,PFCAs,Linear,140,0.7,213.14065603505816,328.9875706199728
E2,PFCAs,Linear,140,0.8,209.99420473604292,322.0507139571103
E2,PFCAs,Linear,140,0.9,207.47222336952032,315.1225676436712
E2,PFDA,Branched,140,0.2,0.0,0.0
E2,PFDA,Branched,140,0.3,0.0676809944890821,0.10678612371039631
E2,PFDA,Branched,140,0.4,0.06137101077814199,0.09353273566624135
E2,PFDA,Branched,140,0.5,0.06413435437908262,0.09849584101786629
E2,PFDA,Branched,140,0.6,0.0718195097835467,0.11026481785931805
