Compound,Isomer,Breed,Parity,Exposure_Days,Total_Days,Feed_Conc_ug_per_kg_DM,t90_milk_exposure_days,t95_milk_exposure_days,t90_plasma_exposure_days,t95_plasma_exposure_days,t50_milk_depuration_days,t90_milk_depuration_days,t50_plasma_depuration_days,t90_plasma_depuration_days,milk_conc_end_exposure,plasma_conc_end_exposure,transfer_factor_milk_per_ug_per_kg_DM,milk_plasma_ratio_end_exposure
PFDA,Branched,Alpine,multiparous,200.0,300.0,1.0,6.465933770097831,7.328801631822304,6.465933770097831,7.328801631822304,203.8636752393054,209.27200269441306,203.8636752393054,209.27200269441306,0.028150054625822398,0.028150054625822398,0.028150054625822398,1.0
PFDA,Linear,Alpine,multiparous,200.0,300.0,1.0,30.693735827033642,35.091492952566675,30.693735827033635,35.09149295256666,215.10307235457174,247.63742322331356,215.10307235457174,247.63742322331356,0.1371866999758242,3.7842416774514596,0.1371866999758242,0.0362520979548574
PFDS,Branched,Alpine,multiparous,200.0,300.0,1.0,25.09093341112254,27.939279468844898,25.090933411122545,27.939279468844905,213.26325887882487,241.09546917858685,213.26325887882487,241.09546917858685,0.019519968644052005,2.2902801374687587,0.019519968644052005,0.0085229611542742
PFDS,Linear,Alpine,multiparous,200.0,300.0,1.0,22.326318728971824,24.86074249603321,22.326318728971824,24.860742496033215,211.7961023532935,236.1847437672615,211.7961023532935,236.18474376726152,0.022289196228380093,0.587873585070451,0.022289196228380093,0.0379149476935742
PFDoDA,Linear,Alpine,multiparous,200.0,300.0,1.0,29.384321251040404,32.940842142944284,29.3843212510404,32.940842142944284,215.22962704052497,247.77297308885213,215.22962704052497,247.77297308885213,0.05266054252120986,3.354123929247747,0.05266054252120986,0.0157002375678529
PFDoDS,Branched,Alpine,multiparous,200.0,300.0,1.0,6.771189437389235,7.665493466039763,6.771189437389237,7.665493466039767,203.93048905864958,210.00757762322212,203.93048905864958,210.00757762322212,0.004403753357151593,0.2908554642689812,0.004403753357151593,0.015140693224449898
PFHxS,Linear,Alpine,multiparous,200.0,300.0,1.0,21.27093063603319,23.642297133414,21.270930636033192,23.64229713341399,211.3117246346189,234.61514370248034,211.3117246346189,234.61514370248034,0.009896990869457872,2.4004492456541398,0.009896990869457872,0.0041229744337964
PFNS,Branched,Alpine,multiparous,200.0,300.0,1.0,38.946883307826646,44.459953868310265,38.94688330782663,44.45995386831026,219.35901635351638,261.81508575345555,219.35901635351638,261.81508575345555,0.11003371588047293,2.4042430226321962,0.11003371588047293,0.0457664698804061
PFNS,Linear,Alpine,multiparous,200.0,300.0,1.0,29.784791328474878,33.675067674634484,29.784791328474878,33.67506767463449,215.08434815217134,247.31362627685252,215.08434815217134,247.31362627685252,0.09346661015072906,1.3212339703219198,0.09346661015072906,0.0707419066192764
PFOS,Branched,Alpine,multiparous,200.0,300.0,1.0,50.986229081618035,59.692517821871164,50.98622908161805,59.69251782187114,224.159577946583,278.49029163318465,224.159577946583,278.49029163318465,0.16167317745730547,6.978653440824823,0.16167317745730547,0.0231668156082267
PFOS,Linear,Alpine,multiparous,200.0,300.0,1.0,44.921834496184864,52.37688787347061,44.92183449618488,52.37688787347061,221.3907334117732,268.9656067419066,221.3907334117732,268.9656067419066,0.16565301743545316,3.85887313947858,0.16565301743545316,0.0429278215292241
PFTrDA,Linear,Alpine,multiparous,200.0,300.0,1.0,27.626424474001634,30.8027759830426,27.626424474001634,30.802775983042594,214.5537387200158,245.3962828928448,214.5537387200158,245.3962828928448,0.02455499729975281,3.195612978239353,0.02455499729975281,0.0076839709523528
PFTrDS,Branched,Alpine,multiparous,200.0,300.0,1.0,2.718473568907082,3.058187546626397,2.7184735689070814,3.0581875466263964,202.21603888029384,204.1939465479049,202.21603888029384,204.1939465479049,0.0015289756388871896,0.08052438641734258,0.0015289756388871896,0.0189877341127792
PFUnDA,Linear,Alpine,multiparous,200.0,300.0,1.0,32.593676064117844,36.95030586539587,32.59367606411784,36.95030586539587,216.40823385849646,251.87703182011464,216.40823385849646,251.87703182011464,0.09978245080244577,3.618432975570375,0.09978245080244577,0.0275761500837851
PFUnDS,Branched,Alpine,multiparous,200.0,300.0,1.0,17.984499169873544,20.00296807769943,17.984499169873544,20.00296807769943,209.5869641325097,228.789584929807,209.5869641325097,228.789584929807,0.010864316275636141,0.33801983600861774,0.010864316275636141,0.0321410613173576
