compound,isomer,breed,parity,max_feed_concentration_ug_kg_DMI,regulatory_limit_ug_kg_milk
PFOS,Linear,Alpine,primiparous,0.06,0.02
PFOS,Linear,Alpine,multiparous,0.06,0.02
PFOS,Linear,Saanen,primiparous,0.06,0.02
PFOS,Linear,Saanen,multiparous,0.06,0.02
PFOS,Linear,Holstein_cow,primiparous,0.06,0.02
PFOS,Linear,Holstein_cow,multiparous,0.06,0.02
PFOA,Linear,Alpine,primiparous,5.46,0.01
PFOA,Linear,Alpine,multiparous,6.87,0.01
PFOA,Linear,Saanen,primiparous,5.69,0.01
PFOA,Linear,Saanen,multiparous,7.32,0.01
PFOA,Linear,Holstein_cow,primiparous,8.68,0.01
PFOA,Linear,Holstein_cow,multiparous,6.97,0.01
PFNA,Linear,Alpine,primiparous,0.16,0.05
PFNA,Linear,Alpine,multiparous,0.16,0.05
PFNA,Linear,Saanen,primiparous,0.16,0.05
PFNA,Linear,Saanen,multiparous,0.16,0.05
PFNA,Linear,Holstein_cow,primiparous,0.17,0.05
PFNA,Linear,Holstein_cow,multiparous,0.17,0.05
PFHxS,Linear,Alpine,primiparous,1.41,0.06
PFHxS,Linear,Alpine,multiparous,1.7,0.06
PFHxS,Linear,Saanen,primiparous,1.46,0.06
PFHxS,Linear,Saanen,multiparous,1.81,0.06
PFHxS,Linear,Holstein_cow,primiparous,1.72,0.06
PFHxS,Linear,Holstein_cow,multiparous,1.44,0.06
