k_a,cond_T,below_threshold
10.0,128990.37036206653,True
12.589254117941675,148789.46477922815,True
15.848931924611133,175634.50664542234,True
19.952623149688797,211284.81544547263,True
25.118864315095795,257858.9381880817,True
31.622776601683793,317972.19527706056,True
39.810717055349734,394903.7125250803,True
50.11872336272725,492793.31177529256,True
63.09573444801933,616876.9418727696,True
79.43282347242814,773774.562195025,True
100.0,971847.8000766865,True
125.89254117941675,1221648.0199829873,True
158.48931924611142,1536479.7040980696,True
199.52623149688787,1933109.7625804313,True
251.18864315095823,2432660.9087745417,True
316.22776601683796,3061736.9325959566,True
398.1071705534973,3853840.156437002,True
501.18723362727246,4851157.74206324,True
630.957344480193,6106819.2769321995,True
794.3282347242822,7687871.343652057,True
1000.0,10828755.700964509,True
1258.9254117941675,17089542.722865295,True
1584.893192461114,27014846.341113556,True
1995.262314968881,42746804.949416436,True
2511.886431509582,67681089.4056348,True
3162.2776601683795,107199704.6400652,True
3981.0717055349733,169832680.7226952,True
5011.872336272725,269099275.293507,True
6309.573444801937,426426107.2805537,True
7943.282347242822,675772093.2949268,True
10000.0,1070958501.4183584,True
12589.254117941662,1697286260.2338383,True
15848.93192461114,2689948230.9532676,True
19952.62314968883,4263210642.5299053,True
25118.864315095823,6756662532.661074,True
31622.776601683792,10708515994.681004,True
39810.71705534969,16971780182.784979,True
50118.72336272725,26898382821.63595,True
63095.73444801943,42630984491.71405,True
79432.82347242821,67565478169.307846,True
100000.0,107083979182.693,True
125892.54117941688,169716582879.67407,True
158489.3192461114,268982550812.8964,True
199526.2314968879,426308525412.11456,True
251188.6431509582,675653320910.5059,True
316227.7660168379,1070838166523.9366,False
398107.17055349774,1697164011832.8154,False
501187.2336272725,2689823827996.0703,False
630957.3444801943,4263082468521.9185,False
794328.2347242822,6756532013588.289,False
1000000.0,10708381392165.715,False
1258925.4117941686,16971636506067.807,False
1584893.1924611141,26898247288909.75,False
1995262.3149688828,42630838064137.695,False
2511886.4315095823,67565326574762.414,False
3162277.6601683795,107083701006819.61,False
3981071.7055349774,169716363386506.78,False
5011872.336272725,268982449768760.6,False
6309573.444801942,426308103306285.7,False
7943282.347242822,675653868653148.1,False
10000000.0,1070837412118135.2,False
