Compound,Isomer,t_half_system_days,functional_group,chain_length,transfer_rate
PFBA,Linear,,PFCA,4,0.005568911248592
PFDA,Linear,21.4728172526004,PFCA,10,0.2052787265703359
PFDS,Branched,13.053751334895644,PFSA,10,0.016781170932004
PFDS,Linear,10.54909006072464,PFSA,10,0.0316298133331928
PFDoDA,Linear,12.766439827377452,PFCA,12,0.0642268511116347
PFDoDS,Branched,4.064218596917314,PFSA,12,0.0017271795917812
PFDoDS,Linear,11.670191196669434,PFSA,12,0.0110774113394365
PFECHS,Linear,13.079295083890596,PFCA,0,
PFHpS,Branched,29.49858166332565,PFSA,7,
PFHpS,Linear,16.187053880114778,PFSA,7,0.0664695053070177
PFHxS,Linear,8.442564206347141,PFSA,6,0.0122147160208067
PFNS,Branched,21.078628476789955,PFSA,9,0.1036581090489767
PFNS,Linear,14.350238940770138,PFSA,9,0.1462775350857725
PFOA,Linear,,PFCA,8,0.0011268126757965
PFOS,Branched,22.00446491644637,PFSA,8,0.1990511675638018
PFOS,Linear,23.91844915148144,PFSA,8,0.2455671067232281
PFTeDA,Linear,,PFCA,14,0.0087434097615703
PFTrDA,Linear,5.203704499483754,PFCA,13,0.0301192064274999
PFTrDS,Branched,1.8166902501568567,PFSA,13,0.0006199281437561
PFUnDA,Linear,16.459308913965874,PFCA,11,0.1550431007603171
PFUnDS,Branched,9.61922181609692,PFSA,11,0.0053491679149688
PFUnDS,Linear,8.562079687946733,PFSA,11,0.0218466476559736
