Compound,Isomer,t50_milk_depuration_days,TR_milk_model,functional_group,chain_length
PFDA,Branched,203.8636752393054,0.008091112090768092,PFCA,10
PFDA,Linear,215.10307235457176,0.035114061439389936,PFCA,10
PFDS,Branched,213.26325887882487,0.0050526367065189225,PFSA,10
PFDS,Linear,211.7961023532935,0.005867919101441835,PFSA,10
PFDoDA,Linear,215.22962704052495,0.013351965354718753,PFCA,12
PFDoDS,Branched,203.9304890586496,0.0012661336651200114,PFSA,12
PFHxS,Linear,211.3117246346189,0.0026195704425915458,PFSA,6
PFNS,Branched,219.3590163535164,0.02684641466196338,PFSA,9
PFNS,Linear,215.08434815217137,0.02381863787975394,PFSA,9
PFOS,Branched,224.159577946583,0.03794667719022838,PFSA,8
PFOS,Linear,221.3907334117732,0.03997728592585298,PFSA,8
PFTrDA,Linear,214.5537387200158,0.006263375461601071,PFCA,13
PFTrDS,Branched,202.21603888029384,0.0004478693838956248,PFSA,13
PFUnDA,Linear,216.4082338584965,0.02508409543498483,PFCA,11
PFUnDS,Branched,209.5869641325097,0.0029333419303283334,PFSA,11
