Compartment,CI_Level,Coverage,N
brain,Param_only,1.0,3
brain,Param_plus_Animal,1.0,3
brain,Param_plus_Animal_plus_Obs,1.0,3
feces,Param_only,0.6153846153846154,13
feces,Param_plus_Animal,0.6153846153846154,13
feces,Param_plus_Animal_plus_Obs,1.0,13
heart,Param_only,1.0,3
heart,Param_plus_Animal,1.0,3
heart,Param_plus_Animal_plus_Obs,1.0,3
kidney,Param_only,0.6666666666666666,3
kidney,Param_plus_Animal,1.0,3
kidney,Param_plus_Animal_plus_Obs,1.0,3
liver,Param_only,1.0,3
liver,Param_plus_Animal,1.0,3
liver,Param_plus_Animal_plus_Obs,1.0,3
lung,Param_only,1.0,3
lung,Param_plus_Animal,1.0,3
lung,Param_plus_Animal_plus_Obs,1.0,3
milk,Param_only,0.2962962962962963,27
milk,Param_plus_Animal,0.37037037037037035,27
milk,Param_plus_Animal_plus_Obs,0.8888888888888888,27
muscle,Param_only,1.0,3
muscle,Param_plus_Animal,1.0,3
muscle,Param_plus_Animal_plus_Obs,1.0,3
plasma,Param_only,0.4166666666666667,24
plasma,Param_plus_Animal,0.625,24
plasma,Param_plus_Animal_plus_Obs,1.0,24
spleen,Param_only,1.0,3
spleen,Param_plus_Animal,1.0,3
spleen,Param_plus_Animal_plus_Obs,1.0,3
urine,Param_only,0.3333333333333333,6
urine,Param_plus_Animal,0.6666666666666666,6
urine,Param_plus_Animal_plus_Obs,1.0,6
