Compound,Isomer,CI_Level,Coverage,N
PFBA,Linear,Param_only,0.5573770491803278,61
PFBA,Linear,Param_plus_Animal,0.5737704918032787,61
PFBA,Linear,Param_plus_Animal_plus_Obs,0.9016393442622951,61
PFDA,Branched,Param_only,0.25,4
PFDA,Branched,Param_plus_Animal,0.75,4
PFDA,Branched,Param_plus_Animal_plus_Obs,1.0,4
PFDA,Linear,Param_only,0.7346938775510204,49
PFDA,Linear,Param_plus_Animal,0.7346938775510204,49
PFDA,Linear,Param_plus_Animal_plus_Obs,0.8979591836734694,49
PFDS,Branched,Param_only,0.2948717948717949,78
PFDS,Branched,Param_plus_Animal,0.6282051282051282,78
PFDS,Branched,Param_plus_Animal_plus_Obs,0.9743589743589743,78
PFDS,Linear,Param_only,0.345679012345679,81
PFDS,Linear,Param_plus_Animal,0.6296296296296297,81
PFDS,Linear,Param_plus_Animal_plus_Obs,0.9753086419753086,81
PFDoDA,Branched,Param_only,0.5714285714285714,21
PFDoDA,Branched,Param_plus_Animal,0.6666666666666666,21
PFDoDA,Branched,Param_plus_Animal_plus_Obs,0.9523809523809523,21
PFDoDA,Linear,Param_only,0.6111111111111112,36
PFDoDA,Linear,Param_plus_Animal,0.75,36
PFDoDA,Linear,Param_plus_Animal_plus_Obs,0.9166666666666666,36
PFDoDS,Branched,Param_only,0.5625,48
PFDoDS,Branched,Param_plus_Animal,0.7916666666666666,48
PFDoDS,Branched,Param_plus_Animal_plus_Obs,1.0,48
PFDoDS,Linear,Param_only,0.3333333333333333,51
PFDoDS,Linear,Param_plus_Animal,0.43137254901960786,51
PFDoDS,Linear,Param_plus_Animal_plus_Obs,0.9411764705882353,51
PFHpA,Linear,Param_only,0.5,4
PFHpA,Linear,Param_plus_Animal,0.5,4
PFHpA,Linear,Param_plus_Animal_plus_Obs,1.0,4
PFHpS,Linear,Param_only,0.0,36
PFHpS,Linear,Param_plus_Animal,0.05555555555555555,36
PFHpS,Linear,Param_plus_Animal_plus_Obs,0.3888888888888889,36
PFHxA,Linear,Param_only,0.2,5
PFHxA,Linear,Param_plus_Animal,0.2,5
PFHxA,Linear,Param_plus_Animal_plus_Obs,0.4,5
PFHxS,Linear,Param_only,0.0,32
PFHxS,Linear,Param_plus_Animal,0.1875,32
PFHxS,Linear,Param_plus_Animal_plus_Obs,0.65625,32
PFNA,Linear,Param_only,0.4583333333333333,24
PFNA,Linear,Param_plus_Animal,0.5833333333333334,24
PFNA,Linear,Param_plus_Animal_plus_Obs,0.75,24
PFNS,Branched,Param_only,0.7159090909090909,88
PFNS,Branched,Param_plus_Animal,0.8295454545454546,88
PFNS,Branched,Param_plus_Animal_plus_Obs,1.0,88
PFNS,Linear,Param_only,0.39080459770114945,87
PFNS,Linear,Param_plus_Animal,0.5057471264367817,87
PFNS,Linear,Param_plus_Animal_plus_Obs,0.9310344827586207,87
PFOA,Branched,Param_only,0.47619047619047616,21
PFOA,Branched,Param_plus_Animal,0.5238095238095238,21
PFOA,Branched,Param_plus_Animal_plus_Obs,0.7142857142857143,21
PFOA,Linear,Param_only,0.7441860465116279,43
PFOA,Linear,Param_plus_Animal,0.7441860465116279,43
PFOA,Linear,Param_plus_Animal_plus_Obs,0.9767441860465116,43
PFOS,Branched,Param_only,0.27380952380952384,84
PFOS,Branched,Param_plus_Animal,0.5952380952380952,84
PFOS,Branched,Param_plus_Animal_plus_Obs,1.0,84
PFOS,Linear,Param_only,0.3956043956043956,91
PFOS,Linear,Param_plus_Animal,0.5824175824175825,91
PFOS,Linear,Param_plus_Animal_plus_Obs,0.9340659340659341,91
PFPeA,Linear,Param_only,0.41935483870967744,31
PFPeA,Linear,Param_plus_Animal,0.41935483870967744,31
PFPeA,Linear,Param_plus_Animal_plus_Obs,0.9032258064516129,31
PFTeDA,Branched,Param_only,0.2727272727272727,11
PFTeDA,Branched,Param_plus_Animal,0.36363636363636365,11
PFTeDA,Branched,Param_plus_Animal_plus_Obs,0.8181818181818182,11
PFTeDA,Linear,Param_only,0.0,16
PFTeDA,Linear,Param_plus_Animal,0.0,16
PFTeDA,Linear,Param_plus_Animal_plus_Obs,0.0,16
PFTrDA,Branched,Param_only,0.42105263157894735,19
PFTrDA,Branched,Param_plus_Animal,0.631578947368421,19
PFTrDA,Branched,Param_plus_Animal_plus_Obs,1.0,19
PFTrDA,Linear,Param_only,0.4,30
PFTrDA,Linear,Param_plus_Animal,0.5333333333333333,30
PFTrDA,Linear,Param_plus_Animal_plus_Obs,1.0,30
PFTrDS,Branched,Param_only,0.34146341463414637,41
PFTrDS,Branched,Param_plus_Animal,0.6341463414634146,41
PFTrDS,Branched,Param_plus_Animal_plus_Obs,1.0,41
PFTrDS,Linear,Param_only,0.6190476190476191,21
PFTrDS,Linear,Param_plus_Animal,0.7619047619047619,21
PFTrDS,Linear,Param_plus_Animal_plus_Obs,0.9523809523809523,21
PFUnDA,Branched,Param_only,0.3333333333333333,21
PFUnDA,Branched,Param_plus_Animal,0.47619047619047616,21
PFUnDA,Branched,Param_plus_Animal_plus_Obs,1.0,21
PFUnDA,Linear,Param_only,0.5,40
PFUnDA,Linear,Param_plus_Animal,0.7,40
PFUnDA,Linear,Param_plus_Animal_plus_Obs,0.95,40
PFUnDS,Branched,Param_only,0.45454545454545453,55
PFUnDS,Branched,Param_plus_Animal,0.6181818181818182,55
PFUnDS,Branched,Param_plus_Animal_plus_Obs,0.9636363636363636,55
PFUnDS,Linear,Param_only,0.34,50
PFUnDS,Linear,Param_plus_Animal,0.68,50
PFUnDS,Linear,Param_plus_Animal_plus_Obs,0.94,50
