Label,k_a–k_ehc,k_a–k_feces,k_a–k_urine,k_ehc–k_urine,k_elim–k_a,k_elim–k_ehc,k_elim–k_feces,k_elim–k_urine,k_feces–k_ehc,k_feces–k_urine
PFDA Branched,,,,,-0.3780329926899104,,,,,
PFDA Linear,,,,,-0.2976387176631176,,,,,
PFUnDA Linear,,,,,-0.01637204364533995,,,,,
PFDoDA Linear,,,,,-0.3087747709427576,,,,,
PFTrDA Linear,,,,,-0.1449825719009629,,,,,
PFOS Branched,0.07941531774064264,0.9297272880584572,-0.0458759824848411,0.007967632817581121,-0.22119599910577004,-0.24075421048972953,-0.16423202893475683,-0.5217613227713592,-0.28750486630703503,-0.0463710295272279
PFNS Branched,0.9949603842937838,0.09004094349035978,-0.024715874886559637,-0.00686280377134041,-0.0927882182159784,-0.011565966579896501,-0.9335597140381646,0.13834240752155125,0.02274550099371751,-0.11568308809444512
PFDS Branched,0.08630079367557815,0.9549871722946015,,,-0.07884502914182209,-0.43028740181178743,-0.03147290105870765,,-0.2002638522903701,
PFUnDS Branched,0.9982749811714781,0.00044718681033395117,,,0.05515171567063692,0.09377010731268486,-0.8813911504021538,,-0.013766958027464643,
PFDoDS Branched,0.03489771496209819,0.9964023535946401,,,-0.07815066081667989,-0.9208847430559488,-0.0968698335250073,,0.022179534136988782,
PFTrDS Branched,0.021889240189572313,0.9969791286413636,,,-0.04124901919603557,-0.8975000969803368,-0.06387345478963292,,0.015190766070592393,
PFHxS Linear,,,-0.20876300464275735,,0.18848692943608422,,,-0.9986079697463479,,
PFOS Linear,0.9328488931258307,0.25568685194436025,-0.07606537834005145,-0.012347780018604983,-0.3389339813279024,-0.16431043750205168,-0.7124073131685192,0.028359036719337382,-0.09244793863094401,-0.16678031593128193
PFNS Linear,0.9813029557918109,0.22593255219367958,,,-0.20268037784532572,-0.09257197397689879,-0.90297827095287,,0.06063890139357343,
PFDS Linear,-0.008394951516824076,0.9358661654996607,,,-0.0019246762667376512,-0.4329989820118145,0.06282996222794836,,-0.3478712107700724,
