Matrix,Sigma,Compound,Isomer
brain,2.7069686628313434,PFBA,Linear
liver,0.5062042225415742,PFBA,Linear
feces,1.0356411305556354,PFBA,Linear
muscle,0.7155327924727612,PFBA,Linear
lung,0.3608486254058295,PFBA,Linear
stomach,0.4,PFBA,Linear
rest,0.4,PFBA,Linear
intestine,0.4,PFBA,Linear
spleen,0.30561886934067456,PFBA,Linear
plasma,0.9452903373963095,PFBA,Linear
kidney,0.4709700006185697,PFBA,Linear
urine,1.8253826838756506,PFBA,Linear
heart,0.2829614104448843,PFBA,Linear
milk,0.9871208716908596,PFBA,Linear
