Matrix,Sigma,Compound,Isomer
urine,1.213111983989689,PFDA,Branched
milk,0.41644527194742,PFDA,Branched
stomach,0.4,PFDA,Branched
plasma,0.7031389970794908,PFDA,Branched
spleen,0.33205700481202616,PFDA,Branched
feces,0.600670787167994,PFDA,Branched
kidney,0.5216704777243943,PFDA,Branched
heart,0.3295206204349723,PFDA,Branched
intestine,0.4,PFDA,Branched
muscle,0.7612604054765898,PFDA,Branched
liver,0.5034318730952061,PFDA,Branched
lung,0.5121049858674996,PFDA,Branched
rest,0.4,PFDA,Branched
brain,2.811667347793351,PFDA,Branched
