Matrix,Sigma,Compound,Isomer
urine,1.213111983989689,PFDA,Linear
milk,0.692268697987541,PFDA,Linear
stomach,0.4,PFDA,Linear
plasma,0.2691053947559402,PFDA,Linear
spleen,0.33205700481202616,PFDA,Linear
feces,0.600670787167994,PFDA,Linear
kidney,0.5216704777243943,PFDA,Linear
heart,0.3295206204349723,PFDA,Linear
intestine,0.4,PFDA,Linear
muscle,0.7612604054765898,PFDA,Linear
liver,0.5034318730952061,PFDA,Linear
lung,0.5121049858674996,PFDA,Linear
rest,0.4,PFDA,Linear
brain,2.811667347793351,PFDA,Linear
