Matrix,Sigma,Compound,Isomer
heart,0.42886599187725916,PFDS,Branched
muscle,0.8824699813786532,PFDS,Branched
urine,1.6106916373725575,PFDS,Branched
liver,0.5230344974205968,PFDS,Branched
stomach,0.4,PFDS,Branched
kidney,0.6083234524764723,PFDS,Branched
milk,0.9839691470023995,PFDS,Branched
brain,2.7200623373437356,PFDS,Branched
plasma,0.4082512996337317,PFDS,Branched
feces,0.4731501063711796,PFDS,Branched
intestine,0.4,PFDS,Branched
spleen,0.31002896287821197,PFDS,Branched
lung,0.36675462151783855,PFDS,Branched
rest,0.4,PFDS,Branched
