Matrix,Sigma,Compound,Isomer
heart,0.26662085785260214,PFDS,Linear
rest,0.4,PFDS,Linear
liver,0.7160100669272448,PFDS,Linear
feces,0.7949043362357398,PFDS,Linear
urine,1.1841999520669173,PFDS,Linear
lung,0.8162282277501048,PFDS,Linear
muscle,2.196461062941372,PFDS,Linear
brain,0.5547639090863976,PFDS,Linear
milk,0.7298147000977597,PFDS,Linear
stomach,0.4,PFDS,Linear
kidney,0.5061215918272188,PFDS,Linear
spleen,0.6563892956374424,PFDS,Linear
plasma,0.3228064914974631,PFDS,Linear
intestine,0.4,PFDS,Linear
