Matrix,Sigma,Compound,Isomer
brain,2.7069686628313434,PFDoDA,Branched
liver,0.5062042225415742,PFDoDA,Branched
feces,0.8544547916855615,PFDoDA,Branched
muscle,0.7155327924727612,PFDoDA,Branched
lung,0.3608486254058295,PFDoDA,Branched
stomach,0.4,PFDoDA,Branched
rest,0.4,PFDoDA,Branched
intestine,0.4,PFDoDA,Branched
spleen,0.30561886934067456,PFDoDA,Branched
plasma,0.6770733843622629,PFDoDA,Branched
kidney,0.4709700006185697,PFDoDA,Branched
urine,1.6770177991007769,PFDoDA,Branched
heart,0.2829614104448843,PFDoDA,Branched
milk,0.49811058120968565,PFDoDA,Branched
