Matrix,Sigma,Compound,Isomer
brain,2.674355768088624,PFDoDA,Linear
rest,0.4,PFDoDA,Linear
feces,0.5152732125302497,PFDoDA,Linear
milk,0.43132180170993417,PFDoDA,Linear
heart,0.2939434864320202,PFDoDA,Linear
liver,0.4645599482921313,PFDoDA,Linear
muscle,0.7918292885940552,PFDoDA,Linear
plasma,0.3484855652136461,PFDoDA,Linear
stomach,0.4,PFDoDA,Linear
spleen,0.298589477685094,PFDoDA,Linear
intestine,0.4,PFDoDA,Linear
urine,1.8862889084402796,PFDoDA,Linear
lung,0.3812018457642282,PFDoDA,Linear
kidney,0.42707589516324607,PFDoDA,Linear
