Matrix,Sigma,Compound,Isomer
heart,0.2838247982755867,PFDoDS,Branched
muscle,0.8824699813786532,PFDoDS,Branched
urine,1.6106916373725575,PFDoDS,Branched
liver,0.5213199740453467,PFDoDS,Branched
stomach,0.4,PFDoDS,Branched
kidney,0.4666504334019394,PFDoDS,Branched
milk,1.1822068786630338,PFDoDS,Branched
brain,2.7200623373437356,PFDoDS,Branched
plasma,0.921588454550184,PFDoDS,Branched
feces,0.6804812668482437,PFDoDS,Branched
intestine,0.4,PFDoDS,Branched
spleen,0.31002896287821197,PFDoDS,Branched
lung,0.36739290086475784,PFDoDS,Branched
rest,0.4,PFDoDS,Branched
