Matrix,Sigma,Compound,Isomer
urine,1.213111983989689,PFDoDS,Linear
milk,0.6060346059067175,PFDoDS,Linear
stomach,0.4,PFDoDS,Linear
plasma,0.4913489888807783,PFDoDS,Linear
spleen,0.33205700481202616,PFDoDS,Linear
feces,0.5077467716587969,PFDoDS,Linear
kidney,0.5216704777243943,PFDoDS,Linear
heart,0.3295206204349723,PFDoDS,Linear
intestine,0.4,PFDoDS,Linear
muscle,0.7612604054765898,PFDoDS,Linear
liver,0.5034318730952061,PFDoDS,Linear
lung,0.5121049858674996,PFDoDS,Linear
rest,0.4,PFDoDS,Linear
brain,0.33335356628813323,PFDoDS,Linear
