Matrix,Sigma,Compound,Isomer
brain,2.7069686628313434,PFHpA,Linear
liver,0.5062042225415742,PFHpA,Linear
feces,0.8544547916855615,PFHpA,Linear
muscle,0.7155327924727612,PFHpA,Linear
lung,0.3608486254058295,PFHpA,Linear
stomach,0.4,PFHpA,Linear
rest,0.4,PFHpA,Linear
intestine,0.4,PFHpA,Linear
spleen,0.30561886934067456,PFHpA,Linear
plasma,0.6770733843622629,PFHpA,Linear
kidney,0.4709700006185697,PFHpA,Linear
urine,1.1666518910528416,PFHpA,Linear
heart,0.2829614104448843,PFHpA,Linear
milk,0.887197618895781,PFHpA,Linear
