Matrix,Sigma,Compound,Isomer
heart,0.2838247982755867,PFHpS,Linear
muscle,0.8824699813786532,PFHpS,Linear
urine,1.6106916373725575,PFHpS,Linear
liver,0.5213199740453467,PFHpS,Linear
stomach,0.4,PFHpS,Linear
kidney,0.4666504334019394,PFHpS,Linear
milk,0.48177083383506736,PFHpS,Linear
brain,2.7200623373437356,PFHpS,Linear
plasma,0.3907722755537888,PFHpS,Linear
feces,0.7769054381181113,PFHpS,Linear
intestine,0.4,PFHpS,Linear
spleen,0.31002896287821197,PFHpS,Linear
lung,0.36739290086475784,PFHpS,Linear
rest,0.4,PFHpS,Linear
