Matrix,Sigma,Compound,Isomer
spleen,0.34057617810589813,PFHxA,Linear
muscle,0.6193111876529891,PFHxA,Linear
heart,0.3823253100906719,PFHxA,Linear
feces,0.5541553294539356,PFHxA,Linear
kidney,0.6206835259403256,PFHxA,Linear
milk,0.7640669973580945,PFHxA,Linear
liver,0.35945208107756044,PFHxA,Linear
stomach,0.4,PFHxA,Linear
lung,0.35452387155006626,PFHxA,Linear
brain,2.8449963583787214,PFHxA,Linear
intestine,0.4,PFHxA,Linear
plasma,0.6976936020183785,PFHxA,Linear
rest,0.4,PFHxA,Linear
urine,0.8276398756238497,PFHxA,Linear
