Matrix,Sigma,Compound,Isomer
brain,2.7069686628313434,PFHxS,Linear
liver,0.5062042225415742,PFHxS,Linear
feces,0.8544547916855615,PFHxS,Linear
muscle,0.7155327924727612,PFHxS,Linear
lung,0.3608486254058295,PFHxS,Linear
stomach,0.4,PFHxS,Linear
rest,0.4,PFHxS,Linear
intestine,0.4,PFHxS,Linear
spleen,0.30561886934067456,PFHxS,Linear
plasma,0.7569458104351479,PFHxS,Linear
kidney,0.4709700006185697,PFHxS,Linear
urine,0.12515132903120788,PFHxS,Linear
heart,0.2829614104448843,PFHxS,Linear
milk,0.7458866125872592,PFHxS,Linear
