Matrix,Sigma,Compound,Isomer
urine,1.428828392145921,PFNA,Branched
plasma,0.6976936020183785,PFNA,Branched
intestine,0.4,PFNA,Branched
muscle,0.6193111876529891,PFNA,Branched
brain,2.8449963583787214,PFNA,Branched
rest,0.4,PFNA,Branched
lung,0.35452387155006626,PFNA,Branched
stomach,0.4,PFNA,Branched
kidney,0.6206835259403256,PFNA,Branched
milk,0.7640669973580945,PFNA,Branched
spleen,0.34057617810589813,PFNA,Branched
feces,0.5541553294539356,PFNA,Branched
liver,0.35945208107756044,PFNA,Branched
heart,0.3823253100906719,PFNA,Branched
