Matrix,Sigma,Compound,Isomer
spleen,0.34057617810589813,PFNA,Linear
muscle,0.6193111876529891,PFNA,Linear
heart,0.3823253100906719,PFNA,Linear
feces,0.5541553294539356,PFNA,Linear
kidney,0.6206835259403256,PFNA,Linear
milk,0.6340506298127553,PFNA,Linear
liver,0.35945208107756044,PFNA,Linear
stomach,0.4,PFNA,Linear
lung,0.35452387155006626,PFNA,Linear
brain,2.8449963583787214,PFNA,Linear
intestine,0.4,PFNA,Linear
plasma,0.6976936020183785,PFNA,Linear
rest,0.4,PFNA,Linear
urine,1.428828392145921,PFNA,Linear
