Matrix,Sigma,Compound,Isomer
heart,0.1189004337900099,PFNS,Branched
rest,0.4,PFNS,Branched
liver,0.21904403227310915,PFNS,Branched
feces,0.5574986959413993,PFNS,Branched
urine,1.1841999520669173,PFNS,Branched
lung,0.30451826698910545,PFNS,Branched
muscle,0.30063430951232045,PFNS,Branched
brain,0.18846536789559526,PFNS,Branched
milk,0.5998880262453394,PFNS,Branched
stomach,0.4,PFNS,Branched
kidney,0.23852854186166667,PFNS,Branched
spleen,0.12339818341879077,PFNS,Branched
plasma,0.3104544646402581,PFNS,Branched
intestine,0.4,PFNS,Branched
