Matrix,Sigma,Compound,Isomer
heart,0.2838247982755867,PFOA,Branched
muscle,0.8824699813786532,PFOA,Branched
urine,1.9666917818409608,PFOA,Branched
liver,0.5213199740453467,PFOA,Branched
stomach,0.4,PFOA,Branched
kidney,0.4666504334019394,PFOA,Branched
milk,0.38553665660327213,PFOA,Branched
brain,2.7200623373437356,PFOA,Branched
plasma,0.19927001681137022,PFOA,Branched
feces,0.7769054381181113,PFOA,Branched
intestine,0.4,PFOA,Branched
spleen,0.31002896287821197,PFOA,Branched
lung,0.36739290086475784,PFOA,Branched
rest,0.4,PFOA,Branched
