Matrix,Sigma,Compound,Isomer
heart,0.2838247982755867,PFOA,Linear
muscle,0.8824699813786532,PFOA,Linear
urine,2.4934043616591053,PFOA,Linear
liver,0.5213199740453467,PFOA,Linear
stomach,0.4,PFOA,Linear
kidney,0.4666504334019394,PFOA,Linear
milk,1.6318176812871292,PFOA,Linear
brain,2.7200623373437356,PFOA,Linear
plasma,1.3170934492496633,PFOA,Linear
feces,0.7769054381181113,PFOA,Linear
intestine,0.4,PFOA,Linear
spleen,0.31002896287821197,PFOA,Linear
lung,0.36739290086475784,PFOA,Linear
rest,0.4,PFOA,Linear
