Matrix,Sigma,Compound,Isomer
heart,0.2838247982755867,PFPeA,Linear
muscle,0.8824699813786532,PFPeA,Linear
urine,3.8480291395845,PFPeA,Linear
liver,0.5213199740453467,PFPeA,Linear
stomach,0.4,PFPeA,Linear
kidney,0.4666504334019394,PFPeA,Linear
milk,1.9855342648457075,PFPeA,Linear
brain,2.7200623373437356,PFPeA,Linear
plasma,0.699332962451555,PFPeA,Linear
feces,1.7501865294451628,PFPeA,Linear
intestine,0.4,PFPeA,Linear
spleen,0.31002896287821197,PFPeA,Linear
lung,0.36739290086475784,PFPeA,Linear
rest,0.4,PFPeA,Linear
