Matrix,Sigma,Compound,Isomer
heart,0.26662085785260214,PFTeDA,Branched
rest,0.4,PFTeDA,Branched
liver,0.5410338176363813,PFTeDA,Branched
feces,0.6959733034675752,PFTeDA,Branched
urine,1.1841999520669173,PFTeDA,Branched
lung,0.36350411846791175,PFTeDA,Branched
muscle,2.196461062941372,PFTeDA,Branched
brain,3.074472779282316,PFTeDA,Branched
milk,0.8801396988731502,PFTeDA,Branched
stomach,0.4,PFTeDA,Branched
kidney,0.47652413740149063,PFTeDA,Branched
spleen,0.3003994354659809,PFTeDA,Branched
plasma,0.7535725375756364,PFTeDA,Branched
intestine,0.4,PFTeDA,Branched
