Matrix,Sigma,Compound,Isomer
intestine,0.4,PFTeDA,Linear
brain,3.475005319113366,PFTeDA,Linear
rest,0.4,PFTeDA,Linear
kidney,0.7252424779265281,PFTeDA,Linear
stomach,0.4,PFTeDA,Linear
muscle,0.9603164667252455,PFTeDA,Linear
urine,1.6446990221663564,PFTeDA,Linear
spleen,0.7103253877472392,PFTeDA,Linear
liver,0.6929840478073379,PFTeDA,Linear
lung,0.7041020429173268,PFTeDA,Linear
heart,0.6505578858125589,PFTeDA,Linear
feces,0.6100532216433133,PFTeDA,Linear
plasma,0.4378228256130905,PFTeDA,Linear
milk,1.004183001855546,PFTeDA,Linear
