Matrix,Sigma,Compound,Isomer
brain,2.674355768088624,PFTrDA,Branched
rest,0.4,PFTrDA,Branched
feces,0.5152732125302497,PFTrDA,Branched
milk,0.6099038918636261,PFTrDA,Branched
heart,0.2939434864320202,PFTrDA,Branched
liver,0.4645599482921313,PFTrDA,Branched
muscle,0.7918292885940552,PFTrDA,Branched
plasma,0.7134327859470929,PFTrDA,Branched
stomach,0.4,PFTrDA,Branched
spleen,0.298589477685094,PFTrDA,Branched
intestine,0.4,PFTrDA,Branched
urine,1.8862889084402796,PFTrDA,Branched
lung,0.3812018457642282,PFTrDA,Branched
kidney,0.42707589516324607,PFTrDA,Branched
