Matrix,Sigma,Compound,Isomer
brain,2.7069686628313434,PFTrDA,Linear
liver,0.5062042225415742,PFTrDA,Linear
feces,0.8544547916855615,PFTrDA,Linear
muscle,0.7155327924727612,PFTrDA,Linear
lung,0.3608486254058295,PFTrDA,Linear
stomach,0.4,PFTrDA,Linear
rest,0.4,PFTrDA,Linear
intestine,0.4,PFTrDA,Linear
spleen,0.30561886934067456,PFTrDA,Linear
plasma,0.49180161244915577,PFTrDA,Linear
kidney,0.4709700006185697,PFTrDA,Linear
urine,1.6770177991007769,PFTrDA,Linear
heart,0.2829614104448843,PFTrDA,Linear
milk,0.5647887701398396,PFTrDA,Linear
