Matrix,Sigma,Compound,Isomer
urine,1.213111983989689,PFTrDS,Branched
milk,0.8730773978909159,PFTrDS,Branched
stomach,0.4,PFTrDS,Branched
plasma,0.8546226651443641,PFTrDS,Branched
spleen,0.33205700481202616,PFTrDS,Branched
feces,0.7619311614398094,PFTrDS,Branched
kidney,0.5216704777243943,PFTrDS,Branched
heart,0.3295206204349723,PFTrDS,Branched
intestine,0.4,PFTrDS,Branched
muscle,0.7612604054765898,PFTrDS,Branched
liver,0.5034318730952061,PFTrDS,Branched
lung,0.5121049858674996,PFTrDS,Branched
rest,0.4,PFTrDS,Branched
brain,2.811667347793351,PFTrDS,Branched
