Matrix,Sigma,Compound,Isomer
brain,2.7069686628313434,PFTrDS,Linear
liver,0.5062042225415742,PFTrDS,Linear
feces,0.18726386612538487,PFTrDS,Linear
muscle,0.7155327924727612,PFTrDS,Linear
lung,0.3608486254058295,PFTrDS,Linear
stomach,0.4,PFTrDS,Linear
rest,0.4,PFTrDS,Linear
intestine,0.4,PFTrDS,Linear
spleen,0.30561886934067456,PFTrDS,Linear
plasma,0.6770733843622629,PFTrDS,Linear
kidney,0.4709700006185697,PFTrDS,Linear
urine,1.6770177991007769,PFTrDS,Linear
heart,0.2829614104448843,PFTrDS,Linear
milk,0.5703553288073187,PFTrDS,Linear
