Matrix,Sigma,Compound,Isomer
heart,0.26662085785260214,PFUnDA,Branched
rest,0.4,PFUnDA,Branched
liver,0.5410338176363813,PFUnDA,Branched
feces,0.6959733034675752,PFUnDA,Branched
urine,1.1841999520669173,PFUnDA,Branched
lung,0.36350411846791175,PFUnDA,Branched
muscle,2.196461062941372,PFUnDA,Branched
brain,3.074472779282316,PFUnDA,Branched
milk,1.4492116013571346,PFUnDA,Branched
stomach,0.4,PFUnDA,Branched
kidney,0.47652413740149063,PFUnDA,Branched
spleen,0.3003994354659809,PFUnDA,Branched
plasma,0.7535725375756364,PFUnDA,Branched
intestine,0.4,PFUnDA,Branched
