Matrix,Sigma,Compound,Isomer
brain,2.7069686628313434,PFUnDA,Linear
liver,0.5062042225415742,PFUnDA,Linear
feces,0.8544547916855615,PFUnDA,Linear
muscle,0.7155327924727612,PFUnDA,Linear
lung,0.3608486254058295,PFUnDA,Linear
stomach,0.4,PFUnDA,Linear
rest,0.4,PFUnDA,Linear
intestine,0.4,PFUnDA,Linear
spleen,0.30561886934067456,PFUnDA,Linear
plasma,0.3686029480928601,PFUnDA,Linear
kidney,0.4709700006185697,PFUnDA,Linear
urine,1.6770177991007769,PFUnDA,Linear
heart,0.2829614104448843,PFUnDA,Linear
milk,0.7537617059201054,PFUnDA,Linear
