Matrix,Sigma,Compound,Isomer
urine,1.213111983989689,PFUnDS,Branched
milk,0.9611262087141246,PFUnDS,Branched
stomach,0.4,PFUnDS,Branched
plasma,0.5560926813059213,PFUnDS,Branched
spleen,0.33205700481202616,PFUnDS,Branched
feces,0.42529802067835376,PFUnDS,Branched
kidney,0.5216704777243943,PFUnDS,Branched
heart,0.3295206204349723,PFUnDS,Branched
intestine,0.4,PFUnDS,Branched
muscle,0.7612604054765898,PFUnDS,Branched
liver,0.5034318730952061,PFUnDS,Branched
lung,0.5121049858674996,PFUnDS,Branched
rest,0.4,PFUnDS,Branched
brain,2.811667347793351,PFUnDS,Branched
