Matrix,Sigma,Compound,Isomer
heart,0.26662085785260214,PFUnDS,Linear
rest,0.4,PFUnDS,Linear
liver,0.5410338176363813,PFUnDS,Linear
feces,0.8518340599640742,PFUnDS,Linear
urine,1.1841999520669173,PFUnDS,Linear
lung,0.36350411846791175,PFUnDS,Linear
muscle,2.196461062941372,PFUnDS,Linear
brain,0.4631312927625666,PFUnDS,Linear
milk,0.8369539639984411,PFUnDS,Linear
stomach,0.4,PFUnDS,Linear
kidney,0.47652413740149063,PFUnDS,Linear
spleen,0.3003994354659809,PFUnDS,Linear
plasma,0.4320035861408792,PFUnDS,Linear
intestine,0.4,PFUnDS,Linear
